GERMAN				ENGLISH

Raesfeld 			Raesfeld (Municipality in the district of Borken)
Flughafen 			Airport
Berlin 				Berlin (Capitol)
Bratwurst 			Bratwurst (food)
Hauptstrasse 			Main road
Brot 				Bread
Klimaanlage 			Air conditioning
Rammstein 			Rammstein (Band and US Air Force Base)
Porsche				Porsche (vroom)
BMW 				BMW (zzz)
Biergarten 			Beer Garden
Ratskeller 			Bar/restaurant under/near a city hall
Dirndel 			Dress
Lederhose 			Traditional leather breeches
Schloss 			Castle
wettbewerbsfaehig 		Competitive
Mehlhase 			Our Instructor
Gebaeck				Pastry, cookie, biscuits
Baeckerei 			Bakery
Hund 				Dog
Doener 				Kebab
Apfelkuchen			Apple pie
Schloss 			Castle (again)
Eltz				Specific Castle (Extremely disney-esque)
